Classes,Class Description
Excel.TopBottomConditionalFormat,Represents a top/bottom conditional format.
Excel.Workbook,"Workbook is the top level object which contains related workbook objects such as worksheets, tables, and ranges. To learn more about the workbook object model, read Work with workbooks using the Excel JavaScript API."
Excel.WorkbookCreated,The WorkbookCreated object is the top level object created by Application.CreateWorkbook. A WorkbookCreated object is a special Workbook object.
Excel.WorkbookProtection,Represents the protection of a workbook object.
Excel.WorkbookRangeAreas,Represents a collection of one or more rectangular ranges in multiple worksheets.
Excel.Worksheet,"An Excel worksheet is a grid of cells. It can contain data, tables, charts, etc. To learn more about the worksheet object model, read Work with worksheets using the Excel JavaScript API."
Excel.WorksheetCollection,Represents a collection of worksheet objects that are part of the workbook.
Excel.WorksheetCustomProperty,Represents a worksheet-level custom property.
Excel.WorksheetCustomPropertyCollection,Contains the collection of worksheet-level custom property.
Excel.WorksheetFreezePanes,Represents the freeze panes functionality in a worksheet.
Excel.WorksheetProtection,Represents the protection of a worksheet object.
