Type,Reference,Description
Classes,Excel.ChartSeries,Represents a series in a chart.
Classes,Excel.ChartSeriesCollection,Represents a collection of chart series.
Classes,Excel.ChartSeriesFormat,Encapsulates the format properties for the chart series
Classes,Excel.ChartTitle,Represents a chart title object of a chart.
Classes,Excel.ChartTitleFormat,Provides access to the formatting options for a chart title.
Classes,Excel.ChartTrendline,This object represents the attributes for a chart trendline object.
Classes,Excel.ChartTrendlineCollection,Represents a collection of chart trendlines.
Classes,Excel.ChartTrendlineFormat,Represents the format properties for the chart trendline.
Classes,Excel.ChartTrendlineLabel,This object represents the attributes for a chart trendline label object.
Classes,Excel.ChartTrendlineLabelFormat,Encapsulates the format properties for the chart trendline label.
Classes,Excel.ColorScaleConditionalFormat,Represents the color scale criteria for conditional formatting.
Classes,Excel.Comment,Represents a comment in the workbook.
Classes,Excel.CommentCollection,Represents a collection of comment objects that are part of the workbook.
Classes,Excel.CommentReply,Represents a comment reply in the workbook.
Classes,Excel.CommentReplyCollection,Represents a collection of comment reply objects that are part of the comment.
Classes,Excel.ConditionalDataBarNegativeFormat,Represents a conditional format for the negative side of the data bar.
Classes,Excel.ConditionalDataBarPositiveFormat,Represents a conditional format for the positive side of the data bar.
Classes,Excel.ConditionalFormat,"An object encapsulating a conditional format's range, format, rule, and other properties. To learn more about the conditional formatting object model, read Apply conditional formatting to Excel ranges."
Classes,Excel.ConditionalFormatCollection,Represents a collection of all the conditional formats that are overlap the range.
Classes,Excel.ConditionalFormatRule,"Represents a rule, for all traditional rule/format pairings."
Classes,Excel.ConditionalRangeBorder,Represents the border of an object.
Classes,Excel.ConditionalRangeBorderCollection,Represents the border objects that make up range border.
Classes,Excel.ConditionalRangeFill,Represents the background of a conditional range object.
Classes,Excel.ConditionalRangeFont,"This object represents the font attributes (font style, color, etc.) for an object."
Classes,Excel.ConditionalRangeFormat,"A format object encapsulating the conditional formats range's font, fill, borders, and other properties."
Classes,Excel.CultureInfo,"Provides information based on current system culture settings. This includes the culture names, number formatting, and other culturally dependent settings."
Classes,Excel.CustomConditionalFormat,Represents a custom conditional format type.
Classes,Excel.CustomProperty,Represents a custom property.
Classes,Excel.CustomPropertyCollection,Contains the collection of custom properties.
Classes,Excel.CustomXmlPart,Represents a custom XML part object in a workbook.
Classes,Excel.CustomXmlPartCollection,A collection of custom XML parts.
Classes,Excel.CustomXmlPartScopedCollection,"A scoped collection of custom XML parts. A scoped collection is the result of some operation (e.g., filtering by namespace). A scoped collection cannot be scoped any further."
Classes,Excel.DataBarConditionalFormat,Represents an Excel conditional data bar type.
Classes,Excel.DataConnectionCollection,Represents a collection of all the data connections that are part of the workbook.
Classes,Excel.DataPivotHierarchy,Represents the Excel DataPivotHierarchy.
Classes,Excel.DataPivotHierarchyCollection,Represents a collection of DataPivotHierarchy items associated with the PivotTable.
Classes,Excel.DataValidation,"Represents the data validation applied to the current range. To learn more about the data validation object model, read Add data validation to Excel ranges."
Classes,Excel.DatetimeFormatInfo,Defines the culturally appropriate format of displaying numbers. This is based on current system culture settings.
Classes,Excel.DocumentProperties,Represents workbook properties.
Classes,Excel.DocumentTask,Represents a task.
Classes,Excel.DocumentTaskChange,Represents a recorded change to the task.
Classes,Excel.DocumentTaskChangeCollection,Represents a collection of change records for a task.
Classes,Excel.DocumentTaskCollection,Represents a collection of tasks.
Classes,Excel.Filter,Manages the filtering of a table's column.
Classes,Excel.FilterPivotHierarchy,Represents the Excel FilterPivotHierarchy.
Classes,Excel.FilterPivotHierarchyCollection,Represents a collection of FilterPivotHierarchy items associated with the PivotTable.
Classes,Excel.FormatProtection,Represents the format protection of a range object.
Classes,Excel.FunctionResult,An object containing the result of a function-evaluation operation
Classes,Excel.Functions,An object for evaluating Excel functions.
Classes,Excel.GeometricShape,"Represents a geometric shape inside a worksheet. A geometric shape can be a rectangle, block arrow, equation symbol, flowchart item, star, banner, callout, or any other basic shape in Excel."
Classes,Excel.GroupShapeCollection,Represents the shape collection inside a shape group.
Classes,Excel.HeaderFooter,Represents a single header or footer in a worksheet
Classes,Excel.HeaderFooterGroup,"Represents a group of headers or footers, typically categorized by their position (left, center, or right) on the page."
Classes,Excel.IconSetConditionalFormat,Represents an icon set criteria for conditional formatting.
Classes,Excel.Image,"Represents an image in the worksheet. To get the corresponding Shape object, use Image.shape."
Classes,Excel.IterativeCalculation,Represents the iterative calculation settings.
Classes,Excel.Line,"Represents a line inside a worksheet. To get the corresponding Shape object, use Line.shape."
Classes,Excel.LinkedDataType,Represents a linked data type. A linked data type is a data type connected to an online data source.
Classes,Excel.LinkedDataTypeCollection,Represents a collection of linked data types.
Classes,Excel.LinkedWorkbook,"Contains information about a linked workbook. If a workbook has links pointing to data in another workbook, the second workbook is linked to the first workbook. In this scenario, the second workbook is called the ""linked workbook""."
Classes,Excel.LinkedWorkbookCollection,Represents a collection of linked workbook objects.
Classes,Excel.LocalImage,Provides information about the local image.
Classes,Excel.NamedItem,"Represents a defined name for a range of cells or value. Names can be primitive named objects (as seen in the type below), range object, or a reference to a range. This object can be used to obtain range object associated with names."
Classes,Excel.NamedItemArrayValues,Represents an object containing values and types of a named item.
Classes,Excel.NamedItemCollection,"A collection of all the NamedItem objects that are part of the workbook or worksheet, depending on how it was reached."
Classes,Excel.NamedSheetView,"Represents a named sheet view of a worksheet. A sheet view stores the sort and filter rules for a particular worksheet. Every sheet view (even a temporary sheet view) has a unique, worksheet-scoped name that is used to access the view."
Classes,Excel.NamedSheetViewCollection,Represents the collection of sheet views in the worksheet.
Classes,Excel.NumberFormatInfo,Defines the culturally appropriate format of displaying numbers. This is based on current system culture settings.
Classes,Excel.PageBreak,Represents a single page break in a worksheet.
Classes,Excel.PageBreakCollection,Represents a collection of page breaks in a worksheet.
Classes,Excel.PageLayout,"Represents layout and print settings that are not dependent on any printer-specific implementation. These settings include margins, orientation, page numbering, title rows, and print area."
Classes,Excel.PivotField,Represents the Excel PivotField.
Classes,Excel.PivotFieldCollection,Represents a collection of all the PivotFields that are part of a PivotTable's hierarchy.
Classes,Excel.PivotHierarchy,Represents the Excel PivotHierarchy.
Classes,Excel.PivotHierarchyCollection,Represents a collection of all the PivotHierarchies that are part of the PivotTable.
Classes,Excel.PivotItem,Represents the Excel PivotItem.
Classes,Excel.PivotItemCollection,Represents a collection of all the PivotItems related to their parent PivotField.
Classes,Excel.PivotLayout,Represents the visual layout of the PivotTable.
Classes,Excel.PivotTable,"Represents an Excel PivotTable. To learn more about the PivotTable object model, read Work with PivotTables using the Excel JavaScript API."
Classes,Excel.PivotTableCollection,Represents a collection of all the PivotTables that are part of the workbook or worksheet.
Classes,Excel.PivotTableScopedCollection,Represents a scoped collection of PivotTables. The PivotTables are sorted based on the location of the PivotTable's top-left corner. They are ordered top-to-bottom and then left-to-right.
Classes,Excel.PivotTableStyle,"Represents a PivotTable style, which defines style elements by PivotTable region."
Classes,Excel.PivotTableStyleCollection,Represents a collection of PivotTable styles.
Classes,Excel.PresetCriteriaConditionalFormat,"Represents the preset criteria conditional format such as above average, below average, unique values, contains blank, nonblank, error, and noerror."
Classes,Excel.Query,Represents a Power Query query.
Classes,Excel.QueryCollection,Represents the collection of queries in the workbook.
Classes,Excel.Range,"Range represents a set of one or more contiguous cells such as a cell, a row, a column, or a block of cells. To learn more about how ranges are used throughout the API, start with Ranges in the Excel JavaScript API."
Classes,Excel.RangeAreas,"RangeAreas represents a collection of one or more rectangular ranges in the same worksheet. To learn how to use discontiguous ranges, read Work with multiple ranges simultaneously in Excel add-ins."
Classes,Excel.RangeAreasCollection,Contains the collection of cross-workbook level ranges.
Classes,Excel.RangeBorder,Represents the border of an object.
Classes,Excel.RangeBorderCollection,Represents the border objects that make up the range border.
Classes,Excel.RangeCollection,Represents a collection of Excel.Range objects
Classes,Excel.RangeFill,Represents the background of a range object.
Classes,Excel.RangeFont,"This object represents the font attributes (font name, font size, color, etc.) for an object."
Classes,Excel.RangeFormat,"A format object encapsulating the range's font, fill, borders, alignment, and other properties."
Classes,Excel.RangeSort,Manages sorting operations on Range objects.
Classes,Excel.RangeView,RangeView represents a set of visible cells of the parent range.
Classes,Excel.RangeViewCollection,Represents a collection of RangeView objects.
Classes,Excel.RemoveDuplicatesResult,Represents the results from Range.removeDuplicates.
Classes,Excel.RequestContext,"The RequestContext object facilitates requests to the Excel application. Since the Office add-in and the Excel application run in two different processes, the request context is required to get access to the Excel object model from the add-in."
Classes,Excel.RowColumnPivotHierarchy,Represents the Excel RowColumnPivotHierarchy.
Classes,Excel.RowColumnPivotHierarchyCollection,Represents a collection of RowColumnPivotHierarchy items associated with the PivotTable.
Classes,Excel.Runtime,Represents the Excel Runtime class.
Classes,Excel.Setting,"Setting represents a key-value pair of a setting persisted to the document (per file, per add-in). These custom key-value pair can be used to store state or lifecycle information needed by the content or task-pane add-in. Note that settings are persisted in the document and hence it is not a place to store any sensitive or protected information such as user information and password."
Classes,Excel.SettingCollection,Represents a collection of key-value pair setting objects that are part of the workbook. The scope is limited to per file and add-in (task-pane or content) combination.
Classes,Excel.Shape,"Represents a generic shape object in the worksheet. A shape could be a geometric shape, a line, a group of shapes, etc. To learn more about the shape object model, read Work with shapes using the Excel JavaScript API."
Classes,Excel.ShapeCollection,Represents a collection of all the shapes in the worksheet.
Classes,Excel.ShapeFill,Represents the fill formatting of a shape object.
Classes,Excel.ShapeFont,"Represents the font attributes, such as font name, font size, and color, for a shape's TextRange object."
Classes,Excel.ShapeGroup,"Represents a shape group inside a worksheet. To get the corresponding Shape object, use ShapeGroup.shape."
Classes,Excel.ShapeLineFormat,"Represents the line formatting for the shape object. For images and geometric shapes, line formatting represents the border of the shape."
Classes,Excel.Slicer,Represents a Slicer object in the workbook.
Classes,Excel.SlicerCollection,Represents a collection of all the slicer objects in the workbook or a worksheet.
Classes,Excel.SlicerItem,Represents a slicer item in a slicer.
Classes,Excel.SlicerItemCollection,Represents a collection of all the slicer item objects in the slicer.
Classes,Excel.SlicerStyle,"Represents a slicer style, which defines style elements by region of the slicer."
Classes,Excel.SlicerStyleCollection,Represents a collection of SlicerStyle objects.
Classes,Excel.Style,An object encapsulating a style's format and other properties.
Classes,Excel.StyleCollection,Represents a collection of all the styles.
Classes,Excel.Table,"Represents an Excel table. To learn more about the table object model, read Work with tables using the Excel JavaScript API."
Classes,Excel.TableCollection,"Represents a collection of all the tables that are part of the workbook or worksheet, depending on how it was reached."
Classes,Excel.TableColumn,Represents a column in a table.
Classes,Excel.TableColumnCollection,Represents a collection of all the columns that are part of the table.
Classes,Excel.TableRow,Represents a row in a table.
Classes,Excel.TableRowCollection,Represents a collection of all the rows that are part of the table.
Classes,Excel.TableScopedCollection,"Represents a scoped collection of tables. For each table its top-left corner is considered its anchor location, and the tables are sorted top-to-bottom and then left-to-right."
Classes,Excel.TableSort,Manages sorting operations on Table objects.
Classes,Excel.TableStyle,"Represents a table style, which defines the style elements by region of the table."
Classes,Excel.TableStyleCollection,Represents a collection of table styles.
Classes,Excel.TextConditionalFormat,Represents a specific text conditional format.
Classes,Excel.TextFrame,Represents the text frame of a shape object.
Classes,Excel.TextRange,"Contains the text that is attached to a shape, in addition to properties and methods for manipulating the text."
Classes,Excel.TimelineStyle,"Represents a TimelineStyle, which defines style elements by region in the timeline."
Classes,Excel.TimelineStyleCollection,Represents a collection of timeline styles.
Classes,Excel.TopBottomConditionalFormat,Represents a top/bottom conditional format.
Classes,Excel.Workbook,"Workbook is the top level object which contains related workbook objects such as worksheets, tables, and ranges. To learn more about the workbook object model, read Work with workbooks using the Excel JavaScript API."
Classes,Excel.WorkbookCreated,The WorkbookCreated object is the top level object created by Application.CreateWorkbook. A WorkbookCreated object is a special Workbook object.
Classes,Excel.WorkbookProtection,Represents the protection of a workbook object.
Classes,Excel.WorkbookRangeAreas,Represents a collection of one or more rectangular ranges in multiple worksheets.
Classes,Excel.Worksheet,"An Excel worksheet is a grid of cells. It can contain data, tables, charts, etc. To learn more about the worksheet object model, read Work with worksheets using the Excel JavaScript API."
Classes,Excel.WorksheetCollection,Represents a collection of worksheet objects that are part of the workbook.
Classes,Excel.WorksheetCustomProperty,Represents a worksheet-level custom property.
Classes,Excel.WorksheetCustomPropertyCollection,Contains the collection of worksheet-level custom property.
Classes,Excel.WorksheetFreezePanes,Represents the freeze panes functionality in a worksheet.
Classes,Excel.WorksheetProtection,Represents the protection of a worksheet object.
Enums,Excel.AggregationFunction,Aggregation function for the DataPivotHierarchy.
Enums,Excel.ArrowheadLength,"Specifies the length of an arrowhead in a line, typically used in shape and line formatting."
Enums,Excel.ArrowheadStyle,"Specifies the style of an arrowhead in a line, such as open, closed, or none."
Enums,Excel.ArrowheadWidth,"Specifies the width of an arrowhead in a line, determining its thickness."
Enums,Excel.AutoFillType,The behavior types when AutoFill is used on a range in the workbook.
Enums,Excel.Base64EncodingType,The file type represented by the base64 encoding.
Enums,Excel.BindingType,"Defines the type of binding in an Excel add-in, such as for binding a range or a table."
Enums,Excel.BlockedErrorCellValueSubType,Represents types of #BLOCKED! errors.
Enums,Excel.BorderIndex,"Specifies which border of a range (top, bottom, left, right) is being referenced or styled."
Enums,Excel.BorderLineStyle,"Specifies the line style of a border, such as solid, dashed, or dotted."
Enums,Excel.BorderWeight,"Specifies the weight (thickness) of a border line, such as thin, medium, or thick."
Enums,Excel.BuiltInPivotTableStyle,Represents a built-in PivotTable style
Enums,Excel.BuiltInSlicerStyle,Represents a built-in slicer style.
Enums,Excel.BuiltInStyle,"Represents the built-in styles available in Excel, such as ""Normal"", ""Title"", or ""Accent1""."
Enums,Excel.BuiltInTableStyle,Represents a built-in table style.
Enums,Excel.BusyErrorCellValueSubType,Represents types of #BUSY! errors.
Enums,Excel.CalcErrorCellValueSubType,Represents types of #CALC! errors.
Enums,Excel.CalculationMode,"Specifies the calculation mode for Excel, such as automatic, manual, or automatic except tables."
Enums,Excel.CalculationState,Represents the state of calculation across the entire Excel application.
Enums,Excel.CalculationType,"Defines the type of calculation performed by Excel, such as full or recalculation of dependent cells."
Enums,Excel.CellValueType,Represents the types of the CellValue object.
Enums,Excel.ChartAxisCategoryType,Specifies the type of the category axis.
Enums,Excel.ChartAxisDisplayUnit,"Specifies the unit of display for a chart axis, such as hundreds, thousands, or millions."
Enums,Excel.ChartAxisGroup,"Represents the group of chart axes, such as primary or secondary axes in a chart."
Enums,Excel.ChartAxisPosition,"Specifies the position of an axis in a chart, such as left, right, top, or bottom."
Enums,Excel.ChartAxisScaleType,"Specifies the scale type of a chart axis, such as linear or logarithmic."
Enums,Excel.ChartAxisTickLabelPosition,"Specifies the position of tick labels on a chart axis, such as next to the axis or high/low positions."
Enums,Excel.ChartAxisTickMark,"Specifies the type of tick marks on a chart axis, such as cross, inside, or outside."
Enums,Excel.ChartAxisTimeUnit,Specifies the unit of time for chart axes and data series.
Enums,Excel.ChartAxisType,"Specifies the type of axis in a chart, such as category, value, or series axis."
Enums,Excel.ChartBinType,Specifies the bin type of a histogram chart or pareto chart series.
Enums,Excel.ChartBoxQuartileCalculation,Represents the quartile calculation type of chart series layout. Only applies to a box and whisker chart.
Enums,Excel.ChartColorScheme,"Represents the color scheme applied to a chart, determining how colors are assigned to chart elements."
Enums,Excel.ChartDataLabelPosition,"Specifies the position of data labels in a chart, such as inside, outside, or above the data points."
Enums,Excel.ChartDataSourceType,Specifies the data source type of the chart series.
Enums,Excel.ChartDisplayBlanksAs,"Determines how blanks in the data are displayed in a chart, such as gaps, zero, or connected lines."
Enums,Excel.ChartErrorBarsInclude,Represents which parts of the error bar to include.
Enums,Excel.ChartErrorBarsType,Represents the range type for error bars.
Enums,Excel.ChartGradientStyle,Represents the gradient style of a chart series. This is only applicable for region map charts.
Enums,Excel.ChartGradientStyleType,Represents the gradient style type of a chart series. This is only applicable for region map charts.
Enums,Excel.ChartLegendPosition,"Specifies the position of the legend in a chart, such as top, bottom, left, or right."
Enums,Excel.ChartLineStyle,"Defines the style of lines in a chart, such as solid, dashed, or dotted lines."
Enums,Excel.ChartMapAreaLevel,Represents the mapping level of a chart series. This only applies to region map charts.
Enums,Excel.ChartMapLabelStrategy,Represents the region level of a chart series layout. This only applies to region map charts.
Enums,Excel.ChartMapProjectionType,Represents the region projection type of a chart series layout. This only applies to region map charts.
Enums,Excel.ChartMarkerStyle,"Specifies the style of markers in a chart, such as circle, square, or triangle markers."
Enums,Excel.ChartParentLabelStrategy,Represents the parent label strategy of the chart series layout. This only applies to treemap charts
Enums,Excel.ChartPlotAreaPosition,"Represents the position of the plot area in a chart, where the data is plotted."
Enums,Excel.ChartPlotBy,"Determines how the chart is plotted, such as by rows or by columns."
Enums,Excel.ChartSeriesBy,"Specifies whether the series are by rows or by columns. In Excel on desktop, the ""auto"" option will inspect the source data shape to automatically guess whether the data is by rows or columns. In Excel on the web, ""auto"" will simply default to ""columns""."
Enums,Excel.ChartSeriesDimension,Represents the dimensions when getting values from chart series.
Enums,Excel.ChartSplitType,"Defines how a pie or doughnut chart is split, such as by value, percentage, or custom split."
Enums,Excel.ChartTextHorizontalAlignment,Represents the horizontal alignment for the specified object.
Enums,Excel.ChartTextVerticalAlignment,Represents the vertical alignment for the specified object.
Enums,Excel.ChartTickLabelAlignment,"Specifies the alignment of tick labels on a chart axis, such as center, left, or right alignment."
Enums,Excel.ChartTitlePosition,Represents the position of the chart title.
Enums,Excel.ChartTrendlineType,"Represents the type of trendline in a chart, such as linear, exponential, or moving average."
Enums,Excel.ChartType,"Specifies the type of chart, such as bar, line, pie, or scatter chart."
Enums,Excel.ChartUnderlineStyle,"Defines the underline style for text in a chart, such as single or double underline."
Enums,Excel.ClearApplyTo,"Specifies what aspects of formatting are cleared, such as all formats, contents, or hyperlinks."
Enums,Excel.CloseBehavior,Specifies the close behavior for Workbook.close.
Enums,Excel.CommentChangeType,Represents how the comments in the event were changed.
Enums,Excel.ConditionalCellValueOperator,Represents the operator of the text conditional format type.
Enums,Excel.ConditionalDataBarAxisFormat,Represents the format options for a data bar axis.
Enums,Excel.ConditionalDataBarDirection,Represents the data bar direction within a cell.
Enums,Excel.ConditionalFormatColorCriterionType,Represents the types of color criterion for conditional formatting.
Enums,Excel.ConditionalFormatDirection,Represents the direction for a selection.
Enums,Excel.ConditionalFormatIconRuleType,Represents the types of icon conditional format.
Enums,Excel.ConditionalFormatPresetCriterion,Represents the criteria of the preset criteria conditional format type.
Enums,Excel.ConditionalFormatRuleType,Represents the types of conditional format values.
Enums,Excel.ConditionalFormatType,"Represents the type of conditional formatting, such as data bars, color scales, or icon sets."
Enums,Excel.ConditionalIconCriterionOperator,Represents the operator for each icon criteria.
Enums,Excel.ConditionalRangeBorderIndex,"Specifies which border of a conditional format range (top, bottom, left, right) is referenced."
Enums,Excel.ConditionalRangeBorderLineStyle,"Defines the line style for borders in a conditional format, such as solid, dashed, or dotted."
Enums,Excel.ConditionalRangeFontUnderlineStyle,"Specifies the underline style for text in a conditional format, such as single or double underline."
Enums,Excel.ConditionalTextOperator,Represents the operator of the text conditional format type.
Enums,Excel.ConditionalTopBottomCriterionType,Represents the criteria for the above/below average conditional format type.
Enums,Excel.ConnectErrorCellValueSubType,Represents types of #CONNECT! errors.
Enums,Excel.ConnectorType,"Represents the type of connector line between shapes, such as straight, elbow, or curved."
Enums,Excel.ContentType,"Specifies the content type, often used in file management and data exchange contexts."
Enums,Excel.DataChangeType,"Represents the type of data change in a workbook, such as cell value change, row insertion, or deletion."
Enums,Excel.DataSourceType,Represents a command type of DataConnection.
Enums,Excel.DataValidationAlertStyle,Represents the data validation error alert style. The default is Stop.
Enums,Excel.DataValidationOperator,Represents the data validation operator enum.
Enums,Excel.DataValidationType,Represents the data validation type enum.
Enums,Excel.DateFilterCondition,Enum representing all accepted conditions by which a date filter can be applied. Used to configure the type of PivotFilter that is applied to the field.
Enums,Excel.DeleteShiftDirection,"Specifies the direction to shift cells when a range is deleted, such as up or left."
Enums,Excel.DocumentPropertyItem,"Represents an individual document property, such as title, author, or custom metadata."
Enums,Excel.DocumentPropertyType,"Defines the type of document property, such as string, date, or number."
Enums,Excel.DocumentTaskChangeAction,Represents the type of change recorded in the task change record.
Enums,Excel.DynamicFilterCriteria,"Specifies criteria for dynamic filters, such as filtering for top items, above average, or specific dates."
Enums,Excel.EntityCardLayoutType,Types of entity card layouts.
Enums,Excel.EntityCompactLayoutIcons,"The list of icons available for EntityCompactLayout. An icon displays in the Excel UI, either to the left of the title in a cell that contains an entity card, or to the left of the title of a referenced entity inside an entity card. Selecting the icon opens the entity card."
Enums,Excel.ErrorCellValueType,Represents the types of the ErrorCellValue object.
Enums,Excel.ErrorCodes,"Represents various error codes in Excel, such as division by zero or invalid cell reference errors."
Enums,Excel.EventSource,"Specifies the source of an event, such as a user action or programmatic change."
Enums,Excel.EventTriggerSource,"Specifies the source that triggered an event, such as a user action or a programmatic change."
Enums,Excel.EventType,"Represents the type of event that occurred in Excel, such as a change, click, or calculation event."
Enums,Excel.ExternalErrorCellValueSubType,Represents types of #EXTERNAL! errors.
Enums,Excel.FieldErrorCellValueSubType,Represents types of #FIELD! errors.
Enums,Excel.FillPattern,"Defines the pattern used to fill a cell, such as solid, striped, or dotted patterns."
Enums,Excel.FilterDatetimeSpecificity,"Specifies the level of detail for filtering dates, such as year, month, or day."
Enums,Excel.FilterOn,"Determines the criteria or type of filtering applied to a range, such as values, top items, or custom."
Enums,Excel.FilterOperator,"Specifies the operator used in a filter, such as equals, greater than, or less than."
Enums,Excel.GeometricShapeType,Specifies the shape type for a GeometricShape object.
Enums,Excel.GroupOption,"Represents options for grouping items in Excel, such as by rows or columns."
Enums,Excel.HeaderFooterState,"Indicates the state of a header or footer, such as visible, hidden, or very hidden."
Enums,Excel.HorizontalAlignment,"Specifies the horizontal alignment of content in a cell, such as left, center, or right."
Enums,Excel.IconSet,"Represents a set of icons used in conditional formatting, such as traffic lights or arrows."
Enums,Excel.ImageFittingMode,"Defines how an image fits within a shape or cell, such as stretch, fit, or fill."
Enums,Excel.InsertShiftDirection,Determines the direction in which existing cells will be shifted to accommodate what is being inserted.
Enums,Excel.KeyboardDirection,"Specifies the direction of keyboard input, such as left-to-right or right-to-left."
Enums,Excel.LabelFilterCondition,Enum representing all accepted conditions by which a label filter can be applied. Used to configure the type of PivotFilter that is applied to the field. PivotFilter.criteria.exclusive can be set to true to invert many of these conditions.
Enums,Excel.LinkedDataTypeRefreshMode,Representation of a refresh mode.
Enums,Excel.LinkedDataTypeState,"Represents the state of a linked data type, such as fetching, connected, or disconnected."
Enums,Excel.LoadToType,An enum that specifies the query load to destination.
Enums,Excel.NamedItemScope,"Specifies the scope of a named item, such as workbook or worksheet scope."
Enums,Excel.NamedItemType,"Defines the type of a named item, such as a range, table, or chart."
Enums,Excel.NumberFormatCategory,Represents a category of number formats.
Enums,Excel.NumErrorCellValueSubType,Represents types of #NUM! errors.
Enums,Excel.PageOrientation,"Represents the page orientation for printing, such as portrait or landscape."
Enums,Excel.PaperType,"Specifies the paper size for printing, such as A4, Letter, or Legal."
Enums,Excel.PictureFormat,The format of the image.
Enums,Excel.PivotAxis,Represents the axis from which to get the PivotItems.
Enums,Excel.PivotFilterTopBottomCriterion,Represents the criteria for the top/bottom values filter.
Enums,Excel.PivotFilterType,A simple enum that represents a type of filter for a PivotField.
Enums,Excel.PivotLayoutType,"Defines the layout type for a PivotTable, such as compact, outline, or tabular."
Enums,Excel.PivotTableDateGroupBy,Represents the DateTime Grouping condition.
Enums,Excel.Placement,Specifies the way that an object is attached to its underlying cells.
Enums,Excel.PrintComments,"Specifies how comments should be printed, such as at the end of the sheet or as displayed."
Enums,Excel.PrintErrorType,"Determines how errors are displayed when printing, such as blank, error code, or ""N/A""."
Enums,Excel.PrintMarginUnit,"Represents the unit of measurement for print margins, such as inches or centimeters."
Enums,Excel.PrintOrder,"Specifies the order in which pages are printed, such as by rows first or by columns first."
Enums,Excel.ProtectionSelectionMode,"Defines how selection is handled in a protected worksheet, such as allowing selection of locked cells."
Enums,Excel.QueryError,An enum that specifies the query load error message.
Enums,Excel.RangeCopyType,"Specifies the type of copy operation for a range, such as values only, formats only, or all."
Enums,Excel.RangeUnderlineStyle,"Defines the underline style for text in a range, such as single or double underline."
Enums,Excel.RangeValueType,"Represents the type of value in a range, such as number, text, or formula."
Enums,Excel.ReadingOrder,"Specifies the reading order for text, such as left-to-right or right-to-left."
Enums,Excel.ReferenceValueType,Represents the types of the ReferenceValue object.
Enums,Excel.RefErrorCellValueSubType,Represents types of #REF! errors.
